objectid,iso3,gis_name,ref_conv_1951,ref_conv_1951_date,ref_prot_1967,ref_prot_1967_date,ref_conv_prot_note,sta_conv_1954,sta_conv_1954_date,sta_conv_1961,sta_conv_1961_date,sta_conv_prot_note,unhcr_region,region,subregion,code_op,excom,comments,globalid,region_pcode,m49code,short_name_en,short_name_sp,short_name_ar,short_name_fr,short_name_ru,short_name_ch,m49_region,m49_region_group,m49_sub_region,hcr3,color_code,territory,entity_last_update
51,MOZ,Mozambique,Active,440380800000,Active,609984000000,,Active,1412121600000,Active,1412121600000,,Regional Bureau for Southern Africa,Africa,Southern Africa,MOZ ABC,Inactive,NA,{654A464F-FC1F-4BD2-89A7-FA805508D6DE},RBSA,508,Mozambique,Mozambique,موزامبيق,Mozambique,Мозамбик,莫桑比克,Africa,Sub-Saharan Africa,Eastern Africa,MOZ,MOZ,NA,1666109157000
57,IRN,Islamic Republic of Iran,Active,207360000000,Active,207360000000,,Inactive,-2209161600000,Inactive,-2209161600000,,Regional Bureau for Asia and the Pacific,Asia and the Pacific,South-West Asia,IRN ABC,Inactive,NA,{8F182F62-A597-43CE-AF88-A76D812DD1A0},RBAP,364,Iran (Islamic Republic of),Irán (República Islámica del),إيران (جمهورية - الإسلامية),Iran (République islamique d’),Иран (Исламская Республика),伊朗伊斯兰共和国,Asia,,Southern Asia,IRN,IRN,NA,1666109157000
37,NPL,Nepal,Inactive,-2209161600000,Inactive,-2209161600000,,Inactive,-2209161600000,Inactive,-2209161600000,,Regional Bureau for Asia and the Pacific,Asia and the Pacific,South Asia,NPL ABC,Inactive,NA,{667C2B2A-9FDF-4798-BB88-53B0D1EAEFC4},RBAP,524,Nepal,Nepal,نيبال,Népal,Непал,尼泊尔,Asia,,Southern Asia,NEP,NPL,NA,1666109157000
14,GRC,Greece,Active,-307411200000,Active,-44236800000,,Active,184291200000,Inactive,-2209161600000,,Regional Bureau for Europe,Europe,"Northern, Western, Central and Southern Europe",GRC ABC,Inactive,NA,{2DFBA432-13CD-4A25-910F-31A86668F9DF},RBE,300,Greece,Grecia,اليونان,Grèce,Греция,希腊,Europe,,Southern Europe,GRE,GRC,NA,1666109157000
196,MNG,Mongolia,Inactive,-2209161600000,Inactive,-2209161600000,,Inactive,-2209161600000,Inactive,-2209161600000,,Regional Bureau for Asia and the Pacific,Asia and the Pacific,East Asia and the Pacific,THA RO ABC,Inactive,NA,{246199AF-8EBA-416A-B56F-21AA89C93852},RBAP,496,Mongolia,Mongolia,منغوليا,Mongolie,Монголия,蒙古,Asia,,Eastern Asia,MNG,MNG,NA,1666109157000
151,SYC,Seychelles,Active,325296000000,Active,325296000000,,Inactive,-2209161600000,Inactive,-2209161600000,,Regional Bureau for Southern Africa,Africa,Southern Africa,ZAF RO ABC,Inactive,NA,{C691341A-A591-44FC-AE67-043A566E1C20},RBSA,690,Seychelles,Seychelles,سيشيل,Seychelles,Сейшельские Острова,塞舌尔,Africa,Sub-Saharan Africa,Eastern Africa,SEY,SYC,NA,1666109157000
133,KAZ,Kazakhstan,Active,916358400000,Active,916358400000,,Inactive,-2209161600000,Inactive,-2209161600000,,Regional Bureau for Asia and the Pacific,Asia and the Pacific,Central Asia,KAZ RO ABC,Inactive,NA,{F5AC0119-526E-4416-AFDC-1440B720CDEA},RBAP,398,Kazakhstan,Kazajstán,كازاخستان,Kazakhstan,Казахстан,哈萨克斯坦,Asia,,Central Asia,KAZ,KAZ,NA,1666109157000
142,ARE,United Arab Emirates,Inactive,-2209161600000,Inactive,-2209161600000,,Inactive,-2209161600000,Inactive,-2209161600000,,Regional Bureau for the Middle East and North Africa,Middle East and North Africa,Middle East,SAU ABC,Inactive,NA,{DD4D923F-122C-41A4-9B79-8F2D07DF1610},RBMENA,784,United Arab Emirates,Emiratos Árabes Unidos,الإمارات العربية المتحدة,Émirats arabes unis,Объединенные Арабские Эмираты,阿拉伯联合酋长国,Asia,,Western Asia,UAE,ARE,NA,1666109157000
20,YEM,Yemen,Active,317001600000,Active,317001600000,,Inactive,-2209161600000,Inactive,-2209161600000,,Regional Bureau for the Middle East and North Africa,Middle East and North Africa,Middle East,YEM ABC,Inactive,NA,{14E6983E-D36E-4680-9E3C-63A96224FA87},RBMENA,887,Yemen,Yemen,اليمن,Yémen,Йемен,也门,Asia,,Western Asia,YEM,YEM,NA,1666109157000
226,MDG,Madagascar,Active,-64368000000,Inactive,-2209161600000,Signatory to Convention only,Inactive,-2209161600000,Inactive,-2209161600000,,Regional Bureau for Southern Africa,Africa,Southern Africa,ZAF RO ABC,Inactive,NA,{C3F3D3B9-CD8F-41DF-833D-D351A841E140},RBSA,450,Madagascar,Madagascar,مدغشقر,Madagascar,Мадагаскар,马达加斯加,Africa,Sub-Saharan Africa,Eastern Africa,MAD,MDG,NA,1666109157000
