Extracted:,United Nations High Commissioner for Refugees,,,,
Date extracted:,2/5/2023 8:13,,,,
Last updated:,2/5/2023 8:13,,,,
Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data.,,,,,
,,,,,
Data table contains the following:,Internally displaced persons,,,,
Content type,End year stock population totals,,,,
Data quick link,https://www.unhcr.org/refugee-statistics/download/?url=DR2Aiw,,,,
Data definitions,https://www.unhcr.org/refugee-statistics/methodology/,,,,
Usage licence,https://www.internal-displacement.org,,,,
Population / Solution types included,"REF,ROC,ASY,IDP,IOC,OIP,OOC or RET,RDP",,,,
Years:,,,,,
Origin:,,,,,
Country of asylum:,,,,,
Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Total
2012,-,-,-,-,26387120
2013,-,-,-,-,33340830
2014,-,-,-,-,37877320
2015,-,-,-,-,40451900
2016,-,-,-,-,40220850
2017,-,-,-,-,39934042
2018,-,-,-,-,41312940
2019,-,-,-,-,45667305
2020,-,-,-,-,48027950
2021,-,-,-,-,53165720
2022,-,-,-,-,62476118
