Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","02/05/2023 08:13 UTC"
"Last updated:","16 June 2022"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=QYq70q
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,OIP,OOC,STA"
Years:
Origin:
"Country of asylum:"
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"Other people in need of international protection"
2012,-,-,-,-,10497017,941497,-
2013,-,-,-,-,11698233,1162934,-
2014,-,-,-,-,14384289,1794704,-
2015,-,-,-,-,16110276,3223460,-
2016,-,-,-,-,17184286,2729521,-
2017,-,-,-,-,19940566,3089507,-
2018,-,-,-,-,20359553,3501629,2592947
2019,-,-,-,-,20414669,4148141,3582202
2020,-,-,-,-,20661846,4184926,3862102
2021,-,-,-,-,21327285,4616134,4406409
2022,-,-,-,-,26664700,4910889,5342069
