Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","13/04/2023 07:07 UTC"
"Last updated:","16 June 2022"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=oEJg1s
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,OIP,OOC,STA"
Years:,"2022,2012"
Origin:,all
"Country of asylum:"
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"Other people in need of international protection"
2012,Afghanistan,AFG,-,-,2586132,62304,-
2012,Albania,ALB,-,-,12569,3722,-
2012,Algeria,DZA,-,-,5657,2463,-
2012,Andorra,AND,-,-,6,0,-
2012,Angola,AGO,-,-,19253,1158,-
2012,"Antigua and Barbuda",ATG,-,-,45,35,-
2012,Egypt,EGY,-,-,10014,4118,-
2012,Argentina,ARG,-,-,435,41,-
2012,Armenia,ARM,-,-,15937,2888,-
2012,Australia,AUS,-,-,47,5,-
2012,Austria,AUT,-,-,15,5,-
2012,Azerbaijan,AZE,-,-,15541,2187,-
2012,Bahrain,BHR,-,-,294,103,-
2012,Barbados,BRB,-,-,50,56,-
2012,Burundi,BDI,-,-,73354,12957,-
2012,Belgium,BEL,-,-,91,13,-
2012,Benin,BEN,-,-,451,428,-
2012,Bermuda,BMU,-,-,0,5,-
2012,Bangladesh,BGD,-,-,10159,8162,-
2012,Bahamas,BHS,-,-,195,32,-
2012,Bhutan,BTN,-,-,41582,99,-
2012,"Burkina Faso",BFA,-,-,1458,504,-
2012,Belarus,BLR,-,-,6181,1013,-
2012,"Bolivia (Plurinational State of)",BOL,-,-,616,162,-
2012,Botswana,BWA,-,-,125,126,-
2012,Brazil,BRA,-,-,1073,242,-
2012,"Bosnia and Herzegovina",BIH,-,-,51815,2791,-
2012,Bulgaria,BGR,-,-,2143,136,-
2012,Belize,BLZ,-,-,35,5,-
2012,Cambodia,KHM,-,-,14016,214,-
2012,Canada,CAN,-,-,121,5,-
2012,"Central African Rep.",CAF,-,-,164567,1899,-
2012,Chad,TCD,-,-,39674,3758,-
2012,China,CHN,-,-,193449,15362,-
2012,Chile,CHL,-,-,1145,63,-
2012,Cameroon,CMR,-,-,13360,3380,-
2012,Congo,COG,-,-,12113,2489,-
2012,"Dem. Rep. of the Congo",COD,-,-,509275,58670,-
2012,Comoros,COM,-,-,449,54,-
2012,Colombia,COL,-,-,394112,18635,-
2012,"Costa Rica",CRI,-,-,325,23,-
2012,Cuba,CUB,-,-,7722,823,-
2012,"Cabo Verde",CPV,-,-,22,10,-
2012,Cyprus,CYP,-,-,10,0,-
2012,Czechia,CZE,-,-,620,194,-
2012,Denmark,DNK,-,-,6,0,-
2012,Djibouti,DJI,-,-,626,299,-
2012,Dominica,DMA,-,-,52,12,-
2012,"Dominican Rep.",DOM,-,-,280,355,-
2012,Ecuador,ECU,-,-,848,519,-
2012,"Equatorial Guinea",GNQ,-,-,230,78,-
2012,Eritrea,ERI,-,-,285356,20544,-
2012,Estonia,EST,-,-,455,28,-
2012,Ethiopia,ETH,-,-,74964,41902,-
2012,Fiji,FJI,-,-,1314,269,-
2012,Finland,FIN,-,-,5,6,-
2012,France,FRA,-,-,94,38,-
2012,Gabon,GAB,-,-,189,56,-
2012,Gambia,GMB,-,-,3063,1753,-
2012,Palestinian,PSE,-,-,94916,2423,-
2012,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,150,45,-
2012,Georgia,GEO,-,-,9266,4575,-
2012,Germany,DEU,-,-,174,21,-
2012,Ghana,GHA,-,-,24269,3469,-
2012,Guinea-Bissau,GNB,-,-,1173,898,-
2012,Greece,GRC,-,-,48,127,-
2012,Grenada,GRD,-,-,316,49,-
2012,Guatemala,GTM,-,-,6389,1325,-
2012,Guinea,GIN,-,-,14062,9504,-
2012,Guyana,GUY,-,-,800,73,-
2012,Haiti,HTI,-,-,38559,2628,-
2012,"China, Hong Kong SAR",HKG,-,-,18,64,-
2012,Honduras,HND,-,-,2612,804,-
2012,Croatia,HRV,-,-,62606,1293,-
2012,Hungary,HUN,-,-,1085,3731,-
2012,"Cote d'Ivoire",CIV,-,-,100709,11192,-
2012,India,IND,-,-,14245,6654,-
2012,Indonesia,IDN,-,-,15514,498,-
2012,Ireland,IRL,-,-,7,10,-
2012,"Iran (Islamic Rep. of)",IRN,-,-,75932,24043,-
2012,Iraq,IRQ,-,-,746204,24239,-
2012,Israel,ISR,-,-,1326,416,-
2012,Italy,ITA,-,-,65,54,-
2012,Jamaica,JAM,-,-,1404,497,-
2012,Jordan,JOR,-,-,2363,622,-
2012,Japan,JPN,-,-,173,37,-
2012,Kazakhstan,KAZ,-,-,3567,926,-
2012,Kenya,KEN,-,-,8946,1544,-
2012,Kyrgyzstan,KGZ,-,-,3490,1196,-
2012,Kiribati,KIR,-,-,34,10,-
2012,"Rep. of Korea",KOR,-,-,555,183,-
2012,"Dem. People's Rep. of Korea",PRK,-,-,1126,1023,-
2012,Kuwait,KWT,-,-,1189,135,-
2012,"Lao People's Dem. Rep.",LAO,-,-,7981,10,-
2012,Liberia,LBR,-,-,23428,2021,-
2012,Libya,LBY,-,-,5233,1894,-
2012,"Saint Lucia",LCA,-,-,567,517,-
2012,Lebanon,LBN,-,-,15100,1976,-
2012,Lesotho,LSO,-,-,5,279,-
2012,"Sri Lanka",LKA,-,-,132720,14018,-
2012,Lithuania,LTU,-,-,487,90,-
2012,Latvia,LVA,-,-,662,94,-
2012,Madagascar,MDG,-,-,299,27,-
2012,Mauritania,MRT,-,-,33747,3028,-
2012,"North Macedonia",MKD,-,-,7582,4644,-
2012,Monaco,MCO,-,-,5,0,-
2012,"Rep. of Moldova",MDA,-,-,6148,430,-
