Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","06/04/2023 14:28 UTC"
"Last updated:","16 June 2022"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=15Eqwr
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,OIP,OOC,STA"
Years:
Origin:,all
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"Other people in need of international protection"
2022,Afghanistan,AFG,Albania,ALB,5,0,-
2022,Afghanistan,AFG,Egypt,EGY,43,161,-
2022,Afghanistan,AFG,Argentina,ARG,12,0,-
2022,Afghanistan,AFG,Armenia,ARM,6,0,-
2022,Afghanistan,AFG,Australia,AUS,8741,3264,-
2022,Afghanistan,AFG,Austria,AUT,43725,5499,-
2022,Afghanistan,AFG,Azerbaijan,AZE,1179,35,-
2022,Afghanistan,AFG,Belgium,BEL,7049,5302,-
2022,Afghanistan,AFG,Bangladesh,BGD,5,0,-
2022,Afghanistan,AFG,"Burkina Faso",BFA,0,10,-
2022,Afghanistan,AFG,Belarus,BLR,96,5,-
2022,Afghanistan,AFG,Brazil,BRA,170,490,-
2022,Afghanistan,AFG,"Bosnia and Herzegovina",BIH,5,5,-
2022,Afghanistan,AFG,Bulgaria,BGR,313,6244,-
2022,Afghanistan,AFG,Canada,CAN,735,550,-
2022,Afghanistan,AFG,China,CHN,31,33,-
2022,Afghanistan,AFG,Chile,CHL,19,136,-
2022,Afghanistan,AFG,Colombia,COL,9,5,-
2022,Afghanistan,AFG,Cuba,CUB,14,0,-
2022,Afghanistan,AFG,Cyprus,CYP,20,804,-
2022,Afghanistan,AFG,Czechia,CZE,173,18,-
2022,Afghanistan,AFG,Denmark,DNK,1620,561,-
2022,Afghanistan,AFG,"Dominican Rep.",DOM,0,8,-
2022,Afghanistan,AFG,Ecuador,ECU,151,0,-
2022,Afghanistan,AFG,Estonia,EST,22,5,-
2022,Afghanistan,AFG,Fiji,FJI,7,0,-
2022,Afghanistan,AFG,Finland,FIN,3755,565,-
2022,Afghanistan,AFG,France,FRA,55681,9066,-
2022,Afghanistan,AFG,"United Kingdom of Great Britain and Northern Ireland",GBR,10259,7277,-
2022,Afghanistan,AFG,Georgia,GEO,53,29,-
2022,Afghanistan,AFG,Germany,DEU,183631,41300,-
2022,Afghanistan,AFG,Ghana,GHA,7,0,-
2022,Afghanistan,AFG,Greece,GRC,33549,3407,-
2022,Afghanistan,AFG,Guyana,GUY,0,5,-
2022,Afghanistan,AFG,"China, Hong Kong SAR",HKG,11,0,-
2022,Afghanistan,AFG,Croatia,HRV,98,483,-
2022,Afghanistan,AFG,Hungary,HUN,1451,5,-
2022,Afghanistan,AFG,Iceland,ISL,204,12,-
2022,Afghanistan,AFG,India,IND,10064,6255,-
2022,Afghanistan,AFG,Indonesia,IDN,5684,1567,-
2022,Afghanistan,AFG,Ireland,IRL,665,380,-
2022,Afghanistan,AFG,"Iran (Islamic Rep. of)",IRN,820714,0,-
2022,Afghanistan,AFG,Iraq,IRQ,13,150,-
2022,Afghanistan,AFG,Italy,ITA,17706,1545,-
2022,Afghanistan,AFG,Jordan,JOR,8,10,-
2022,Afghanistan,AFG,Japan,JPN,84,0,-
2022,Afghanistan,AFG,Kazakhstan,KAZ,325,386,-
2022,Afghanistan,AFG,Kenya,KEN,11,36,-
2022,Afghanistan,AFG,Kyrgyzstan,KGZ,208,491,-
