Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","02/05/2023 08:14"
"Last updated:","02/05/2023 08:14"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Palestine refugees under UNRWA's mandate"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=5n1TiW
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://www.unrwa.org
"Population / Solution types included","REF,ROC,ASY,IDP,IOC,OIP,OOC or RET,RDP"
Years:
Origin:
"Country of asylum:"
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)",Total
2012,-,-,-,-,4919917
2013,-,-,-,-,5030049
2014,-,-,-,-,5149742
2015,-,-,-,-,5241257
2016,-,-,-,-,5340443
2017,-,-,-,-,5442947
2018,-,-,-,-,5545540
2019,-,-,-,-,5629829
2020,-,-,-,-,5703521
2021,-,-,-,-,5792907
2022,-,-,-,-,5835601
